Lieu,Nombre de personnes à l'événément,Nombre de personnes par ligne,Arrêts,Lignes,Nombre de lignes
stade-tour-eiffel,12860,6430.0,"['BIR HAKEIM', 'ALMA MARCEAU']","['6', '9']",2
arena-champ-de-mars,8356,2785.3333333333335,"['LA MOTTE-PICQUET-GRENELLE', 'LA MOTTE-PICQUET-GRENELLE', 'SEGUR']","['6', '8', '10']",3
grand-palais,8000,4000.0,"['FRANKLIN D. ROOSEVELT', 'FRANKLIN D. ROOSEVELT']","[6, 9]",2
invalides,8000,4000.0,['INVALIDES'],"['8', '13']",2
pont-alexandre-iii,1000,500.0,['INVALIDES'],"['8', '13']",2
trocadero,3349,1674.5,"['IENA', 'TROCADERO']","['9', '6']",2
concorde,35000,5833.333333333333,"['PALAIS-ROYAL', 'PALAIS-ROYAL', 'MADELEINE', 'MADELEINE', 'MADELEINE', 'OPERA']","['1', '7', '8', '12', '14', '3']",6
stade-roland-garros,14962,7481.0,"['PORTE DE SAINT-CLOUD', ""PORTE D'AUTEUIL""]","['9', '10']",2
arena-paris-sud,9000,3000.0,"['PORTE DE VERSAILLES', 'BALARD', 'PORTE DE VANVES']","['12', '8', '13']",3
arena-bercy,15000,5000.0,"['BERCY', 'BERCY', 'GARE DE LYON']","['6', '14', '1']",3
arena-la-chapelle,6700,6700.0,['PORTE DE LA CHAPELLE'],['12'],1
paris-la-defense-arena,17000,17000.0,['LA DEFENSE'],['1'],1
stade-de-france,77083,77083.0,['SAINT-DENIS-PORTE DE PARIS'],['13'],1
