Rang,Station,Trafic,nb_correspondance,fréquentation_totale_ligne,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nombre_validations_totales_pour_la_ligne
12,belleville,1462887.6,5,7084175.6000000015,0.20650075359509718,16611.63157894737,7.73,3.5599999999999996,0.12,0.0,0.0,4.47,7.210000000000001,14.32,24.099999999999998,26.81,28.22,30.46,32.41,33.85,35.54,38.84,39.879999999999995,41.62,37.49,32.01,21.3,14.72,13.35,11.969999999999999,3322.326315789474,1661.163157894737,14632.78947368421
146,place des fetes,463752.8,5,7084175.6000000015,0.0654631994158925,4553.368421052632,3.49,1.2,0.060000000000000005,0.0,0.0,6.44,10.27,22.61,39.57,37.66,33.64,33.49,34.08,36.66,35.9,35.75,35.01,36.17,32.6,25.8,16.86,10.54,6.91,5.29,910.6736842105263,455.33684210526314,14632.78947368421
151,pyrenees,457717.4,5,7084175.6000000015,0.06461124424978962,3569.684210526316,6.4,2.41,0.1,0.0,0.0,3.56,8.2,18.31,35.690000000000005,35.27,28.72,30.689999999999998,32.3,31.47,34.12,36.61,36.71,39.62,35.5,31.83,20.05,12.89,9.790000000000001,9.700000000000001,713.9368421052632,356.9684210526316,14632.78947368421
159,goncourt,439834.0,5,7084175.6000000015,0.06208682912941908,4294.736842105263,6.6,2.81,0.26,0.0,0.0,2.9699999999999998,6.58,15.14,27.19,27.86,24.92,27.4,30.41,32.74,35.51,39.44,42.93,41.41,40.67,35.74,22.81,16.01,11.02,9.56,858.9473684210527,429.47368421052636,14632.78947368421
167,rambuteau,425458.2,5,7084175.6000000015,0.060057545722045615,4739.0526315789475,10.81,3.8200000000000003,0.19,0.0,0.01,1.29,1.8399999999999999,4.11,8.620000000000001,10.86,12.35,17.33,23.21,26.3,29.95,39.55,47.71,56.5,57.54,51.120000000000005,33.14,27.08,19.91,16.740000000000002,947.8105263157895,473.90526315789475,14632.78947368421
217,telegraphe,327379.6,5,7084175.6000000015,0.04621280138792719,4521.631578947368,3.5999999999999996,1.4500000000000002,0.05,0.0,0.0,7.73,12.969999999999999,25.96,41.0,38.06,31.08,31.39,31.81,31.79,34.21,34.45,36.7,36.48,33.67,27.009999999999998,17.34,10.61,7.17,5.49,904.3263157894737,452.16315789473686,14632.78947368421
13,hotel de ville,1450345.8,5,7084175.6000000015,0.20473035705100248,15023.947368421053,12.16,4.87,0.09,0.01,0.0,1.58,2.33,4.42,9.790000000000001,10.030000000000001,10.11,15.58,21.85,24.869999999999997,28.53,39.11,50.7,60.08,62.0,53.19,32.02,19.18,19.01,18.49,3004.789473684211,1502.3947368421054,14632.78947368421
113,mairie des lilas,578924.4,5,7084175.6000000015,0.08172078625493133,7937.894736842105,3.04,1.09,0.03,0.0,0.02,5.73,15.530000000000001,33.99,49.68,43.09,33.26,31.7,30.939999999999998,32.019999999999996,32.97,32.96,30.88,32.71,30.04,24.99,15.03,8.79,6.56,4.98,1587.578947368421,793.7894736842105,14632.78947368421
98,porte des lilas,621003.2,5,7084175.6000000015,0.0876606164307954,2182.7894736842104,5.220000000000001,1.8599999999999999,0.2,0.03,0.3,5.02,9.8,21.0,30.490000000000002,28.3,27.79,28.619999999999997,31.310000000000002,32.54,34.02,36.32,39.7,48.95,41.3,31.52,19.11,11.48,8.44,6.619999999999999,436.55789473684206,218.27894736842103,14632.78947368421
140,arts et metiers,480608.4,5,7084175.6000000015,0.06784253061146592,5285.0526315789475,10.43,4.34,0.16999999999999998,0.01,0.01,1.35,2.0,5.8100000000000005,15.200000000000001,17.38,16.14,20.439999999999998,25.9,28.25,31.63,40.55,44.51,52.63,53.5,44.14,28.47,20.48,20.65,15.99,1057.0105263157895,528.5052631578948,14632.78947368421
190,jourdain,376264.2,5,7084175.6000000015,0.0531133361516335,4444.1578947368425,5.38,2.4,0.13,0.0,0.0,3.9,8.51,18.77,37.74,36.58,30.21,31.14,33.27,32.88,34.620000000000005,36.629999999999995,36.25,37.690000000000005,34.84,31.36,19.74,11.78,8.66,7.56,888.8315789473685,444.41578947368424,14632.78947368421
