Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
etienne marcel,1705639.0,0.01793716812988343,531.7850985221675,531.7850985221675,265.89254926108373,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,12.18,6.56,0.22,0.0,0.0,1.1,2.77,6.27,13.19,13.05,11.91,16.19,22.46,26.15,30.97,38.18,44.55,51.19,54.76,49.49,33.64,26.849999999999998,21.44,16.85,206
montparnasse-bienvenue,5101806.0,0.053652591191950975,8840.644430992736,2210.161107748184,1105.080553874092,4,4,6,12,13.0,nan,31928.10954753746,95089647.8,5.71,0.26,0.01,0.04,0.24,3.15,13.07,24.17,21.87,15.02,16.450000000000003,19.23,21.88,22.18,22.86,26.18,36.839999999999996,55.5,62.72,49.65,31.049999999999997,21.54,16.830000000000002,13.49,4
les halles,10623876.0,0.11172484330097603,3622.0632218844985,3622.0632218844985,1811.0316109422492,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,6.569999999999999,2.7199999999999998,0.07,0.0,0.04,3.2,9.16,19.14,28.26,26.95,19.9,22.17,26.53,28.97,30.54,35.71,39.98,46.21,48.91,40.22,26.35,17.31,12.1,8.95,8
strasbourg-saint-denis,2115256.6666666665,0.022244868033538628,2023.3496376811595,674.4498792270532,337.2249396135266,3,4,8,9,nan,nan,31928.10954753746,95089647.8,13.39,5.52,0.09,0.03,0.0,2.08,3.55,7.47,14.809999999999999,15.81,15.45,19.28,24.2,28.14,31.46,36.67,40.17,46.48,49.51,42.83,31.75,24.29,25.9,21.06,16
chateau rouge,5841122.0,0.061427527971136306,1764.3368034292712,1764.3368034292712,882.1684017146356,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,2.3,0.9,0.03,0.0,0.0,1.71,4.85,9.809999999999999,15.01,15.870000000000001,17.43,24.98,35.09,40.92,44.839999999999996,48.87,51.21,52.28,46.91,38.9,23.93,12.95,7.02,4.16,22
porte de clignancourt,5611814.0,0.059016035181907574,1682.2455603184324,1682.2455603184324,841.1227801592162,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,2.26,0.74,0.0,0.0,0.0,4.38,10.489999999999998,18.71,24.13,22.85,21.119999999999997,25.75,33.68,36.79,39.62,43.48,49.69,51.85,43.41,31.51,18.48,11.1,6.05,3.89,24
mairie de montrouge,4316647.0,0.04539555145980886,2027.698605215282,2027.698605215282,1013.849302607641,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,3.27,0.87,0.02,0.0,0.08,13.079999999999998,22.14,33.629999999999995,41.69,34.22,27.42,27.5,29.08,30.22,31.03,32.21,34.11,37.31,34.03,25.42,17.02,10.75,8.47,6.46,45
porte d'orleans,4175817.0,0.0439145279913425,1395.4942178940962,1395.4942178940962,697.7471089470481,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,3.89,1.6600000000000001,0.12,0.04,0.02,4.67,9.74,18.509999999999998,31.74,28.76,24.42,27.93,32.92,33.82,34.92,36.83,38.88,43.25,41.37,33.58,23.580000000000002,14.59,8.71,6.029999999999999,49
reaumur-sebastopol,1789772.0,0.01882194372792703,1134.543359611886,567.271679805943,283.6358399029715,2,3,4,nan,nan,nan,31928.10954753746,95089647.8,12.219999999999999,6.0600000000000005,0.28,0.03,0.0,2.44,4.37,8.49,16.080000000000002,16.78,15.26,18.310000000000002,24.38,26.97,29.64,36.59,42.26,52.36,55.02,44.28,29.59,21.11,19.509999999999998,17.92,73
mouton-duvernet,1131403.0,0.011898277322255473,362.003065603924,362.003065603924,181.001532801962,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,3.79,1.6,0.16,0.0,0.0,1.72,4.14,13.26,32.71,29.51,23.34,27.6,34.45,35.04,39.14,41.379999999999995,42.08,40.12,41.230000000000004,40.129999999999995,21.59,12.32,8.68,6.0,271
