Station,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nombre_validations_totales_pour_la_ligne
republique,13.25,5.19,0.15,0.02,0.03,2.6,3.35,7.84,16.89,16.91,16.759999999999998,20.66,26.04,28.61,32.64,38.42,42.22,48.75,47.650000000000006,40.31,26.59,22.130000000000003,22.07,20.89,4895.0526315789475,2447.5263157894738,95050.21052631579
laumiere,5.93,2.11,0.07,0.0,0.0,3.86,9.68,19.11,30.57,29.89,27.330000000000002,28.42,30.38,31.29,33.04,35.77,38.29,41.12,39.95,33.41,22.47,15.58,12.3,9.45,1353.1052631578946,676.5526315789473,95050.21052631579
oberkampf,13.629999999999999,6.07,0.21000000000000002,0.0,0.0,2.38,4.57,11.67,25.22,24.64,20.83,22.759999999999998,25.0,26.759999999999998,30.72,35.49,39.03,43.57,44.22,40.72,24.17,17.79,21.02,19.47,1279.4105263157894,639.7052631578947,95050.21052631579
ourcq,5.59,1.82,0.06,0.01,0.0,4.42,10.55,19.84,33.61,30.42,26.84,28.240000000000002,31.1,31.57,32.29,34.0,43.41,43.81,38.620000000000005,31.05,20.13,12.96,10.65,9.030000000000001,1172.5684210526315,586.2842105263157,95050.21052631579
gare du nord,3.0,0.13,0.01,0.0,1.06,5.38,10.82,21.240000000000002,23.38,18.84,17.96,22.11,25.78,28.38,31.14,33.23,41.47,50.61,50.41,41.92,30.31,21.34,14.23,7.21,12120.947368421052,6060.473684210526,95050.21052631579
gare du nord,4.62,1.67,0.11,0.05,0.1,3.1,8.97,25.400000000000002,37.650000000000006,28.39,21.6,24.650000000000002,28.14,26.68,29.95,29.42,34.73,39.56,41.82,37.55,26.450000000000003,22.36,16.48,10.56,12120.947368421052,6060.473684210526,95050.21052631579
gare de l'est,0.7,0.02,0.0,0.0,0.060000000000000005,2.8899999999999997,10.34,16.49,13.120000000000001,12.57,13.68,16.64,20.38,23.85,26.95,32.4,49.55,69.36,67.0,53.03,37.28,21.659999999999997,10.64,1.4,17799.757894736842,8899.878947368421,95050.21052631579
gare de l'est,4.17,1.42,0.05,0.0,0.0,5.300000000000001,16.12,33.84,44.57,33.59,25.41,25.020000000000003,27.419999999999998,27.62,26.7,30.16,31.14,34.69,35.97,31.16,23.849999999999998,17.15,16.45,8.190000000000001,17799.757894736842,8899.878947368421,95050.21052631579
bastille,18.39,8.33,0.4,0.06,0.03,4.99,4.52,6.83,15.09,15.35,14.22,18.7,23.56,25.23,28.96,34.84,41.19,49.12,48.68,39.54,24.82,22.5,28.78,25.919999999999998,3159.1473684210528,1579.5736842105264,95050.21052631579
breguet-sabin,12.72,5.01,0.2,0.01,0.0,2.47,5.32,11.33,23.13,22.3,19.22,23.02,26.2,27.14,31.49,36.489999999999995,39.28,46.47,47.01,40.230000000000004,25.900000000000002,17.21,18.01,19.83,606.8210526315789,303.41052631578947,95050.21052631579
campo-formio,4.859999999999999,1.67,0.08,0.0,0.0,3.7199999999999998,8.54,16.5,31.84,31.4,25.3,28.43,33.480000000000004,31.490000000000002,32.44,37.86,40.19,45.59,41.84,34.55,20.81,11.629999999999999,9.95,7.79,355.3578947368421,177.67894736842106,95050.21052631579
bobigny-pablo picasso,2.34,0.57,0.02,0.0,0.0,13.22,31.48,46.01,45.08,40.25,31.759999999999998,27.53,26.72,28.43,28.73,29.27,31.81,34.62,26.98,19.92,14.07,9.469999999999999,6.59,5.11,3347.9052631578948,1673.9526315789474,95050.21052631579
gare d'austerlitz,4.449999999999999,1.9700000000000002,0.12,0.01,0.05,5.74,12.78,30.27,47.870000000000005,36.12,23.32,23.67,27.86,25.71,27.07,26.1,30.28,39.26,42.61,31.36,23.11,15.32,12.03,12.92,3699.4631578947365,1849.7315789473682,95050.21052631579
stalingrad,6.41,2.27,0.14,0.02,0.05,4.36,8.85,16.81,24.29,24.06,24.59,26.77,30.87,32.61,33.480000000000004,37.53,43.84,45.68,42.28,34.0,23.47,16.56,11.79,9.27,1518.178947368421,759.0894736842105,95050.21052631579
bobigny-pantin-raymond queneau,4.03,0.75,0.05,0.0,0.0,7.42,18.39,31.939999999999998,40.95,38.16,32.86,28.39,27.91,29.28,30.77,29.77,34.26,39.83,33.14,26.13,16.33,11.1,10.809999999999999,7.7,1171.157894736842,585.578947368421,95050.21052631579
jacques bonsergent,9.1,3.41,0.05,0.02,0.03,1.8399999999999999,5.31,12.85,21.15,21.87,21.29,24.119999999999997,28.95,30.84,33.75,38.8,44.05,47.05,44.73,37.63,24.900000000000002,16.560000000000002,16.32,15.36,670.8210526315789,335.41052631578947,95050.21052631579
hoche,3.39,1.01,0.04,0.0,0.0,5.74,12.64,23.66,29.97,32.31,29.84,30.05,31.93,31.85,32.41,34.08,38.37,46.51,41.03,30.66,18.85,11.28,8.14,6.27,1864.3894736842108,932.1947368421054,95050.21052631579
place d'italie,6.1899999999999995,2.1,0.11,0.01,0.04,3.22,5.42,11.46,24.16,22.939999999999998,21.98,26.12,30.9,33.29,36.04,39.4,41.98,45.58,43.61,37.38,25.89,15.9,15.0,11.219999999999999,3197.5263157894738,1598.7631578947369,95050.21052631579
jaures,11.44,4.55,0.18,0.24,0.31,4.65,7.71,14.52,24.650000000000002,24.24,22.55,24.560000000000002,28.62,28.79,30.37,34.15,37.88,44.07,41.76,36.84,24.98,20.83,16.9,15.14,2296.4842105263156,1148.2421052631578,95050.21052631579
porte de pantin,12.950000000000001,3.01,0.11,0.0,0.0,4.37,7.92,13.79,20.43,20.24,17.97,20.64,25.6,24.88,26.21,31.5,40.24,46.71,44.46,34.410000000000004,24.95,21.84,29.599999999999998,28.16,1724.4,862.2,95050.21052631579
eglise de pantin,5.85,1.97,0.12,0.01,0.0,6.64,13.46,25.0,34.230000000000004,33.72,29.07,28.369999999999997,30.93,30.86,30.62,32.83,39.41,42.09,38.71,28.57,18.22,12.0,9.26,8.1,1280.7684210526315,640.3842105263158,95050.21052631579
saint-marcel,4.16,1.4300000000000002,0.15000000000000002,0.01,0.01,1.62,5.52,16.97,17.7,20.72,22.25,26.53,31.72,30.33,38.43,39.53,49.39,49.37,44.129999999999995,37.89,23.9,19.44,11.0,7.71,639.2105263157895,319.60526315789474,95050.21052631579
richard lenoir,6.390000000000001,2.64,0.16999999999999998,0.01,0.0,2.34,6.1899999999999995,14.55,29.64,26.18,21.83,25.46,29.46,30.32,30.6,35.96,42.42,49.82,47.6,36.64,23.880000000000003,14.52,13.18,10.19,580.7578947368421,290.37894736842105,95050.21052631579
quai de la rapee,13.25,5.27,0.4,0.04,0.04,2.34,4.85,10.8,16.99,18.09,17.9,21.700000000000003,26.65,27.7,28.89,35.11,42.67,52.3,52.0,40.54,25.17,18.53,19.7,19.049999999999997,396.2736842105263,198.13684210526316,95050.21052631579
