Station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00
opera,4824.19298245614,2412.09649122807,3,7,8,nan,nan,236189.34385964915,12.37,2.36,0.04,0.0,0.0,1.29,1.49,2.58,4.46,5.6899999999999995,8.51,13.75,20.39,23.32,28.41,38.209999999999994,47.86,58.37,66.31,54.58,34.39,24.68,27.38,23.59
place des fetes,2276.684210526316,1138.342105263158,7bis,11,nan,nan,nan,236189.34385964915,3.49,1.2,0.060000000000000005,0.0,0.0,6.44,10.27,22.61,39.57,37.66,33.64,33.49,34.08,36.66,35.9,35.75,35.01,36.17,32.6,25.8,16.86,10.54,6.91,5.29
cadet,3839.0526315789475,1919.5263157894738,7,nan,nan,nan,nan,236189.34385964915,10.83,3.35,0.05,0.0,0.0,1.3900000000000001,4.45,10.639999999999999,24.68,22.48,20.98,23.58,28.05,29.71,34.67,39.61,41.18,44.2,43.1,36.21,24.86,17.78,18.78,19.43
botzaris,1217.4736842105262,608.7368421052631,7bis,nan,nan,nan,nan,236189.34385964915,9.15,1.83,0.16999999999999998,0.01,0.04,3.92,7.59,19.45,38.92,34.44,28.93,29.97,30.69,31.98,32.04,33.29,36.92,39.27,38.21,29.92,19.18,12.63,10.879999999999999,10.52
bolivar,607.7894736842105,303.89473684210526,7bis,nan,nan,nan,nan,236189.34385964915,3.9800000000000004,1.77,0.69,0.0,0.04,3.57,4.64,12.27,30.53,29.43,29.54,34.54,35.37,34.33,37.730000000000004,39.760000000000005,44.09,47.620000000000005,38.38,29.310000000000002,18.700000000000003,10.149999999999999,7.7,5.87
place d'italie,5329.210526315789,2664.6052631578946,5,6,7,nan,nan,236189.34385964915,6.1899999999999995,2.1,0.11,0.01,0.04,3.22,5.42,11.46,24.16,22.939999999999998,21.98,26.12,30.9,33.29,36.04,39.4,41.98,45.58,43.61,37.38,25.89,15.9,15.0,11.219999999999999
chaussee d'antin-la fayette,5690.5,2845.25,7,9,nan,nan,nan,236189.34385964915,4.78,1.2,0.02,0.0,0.0,1.15,1.65,3.02,6.18,7.94,9.43,15.66,24.49,27.4,31.810000000000002,42.29,52.55,63.2,71.17,56.22,42.81,14.34,12.59,10.04
jaures,3827.4736842105262,1913.7368421052631,2,5,7bis,nan,nan,236189.34385964915,11.44,4.55,0.18,0.24,0.31,4.65,7.71,14.52,24.650000000000002,24.24,22.55,24.560000000000002,28.62,28.79,30.37,34.15,37.88,44.07,41.76,36.84,24.98,20.83,16.9,15.14
jussieu,1968.9473684210527,984.4736842105264,7,10,nan,nan,nan,236189.34385964915,12.91,5.470000000000001,0.09,0.0,0.0,1.0,1.85,4.98,12.280000000000001,12.96,13.86,18.240000000000002,28.29,26.88,28.96,38.64,47.61,62.35,61.449999999999996,41.980000000000004,26.16,18.39,17.92,17.77
poissonniere,4428.0,2214.0,7,nan,nan,nan,nan,236189.34385964915,7.2,2.33,0.02,0.0,0.02,1.73,4.22,11.620000000000001,24.96,25.33,24.71,26.580000000000002,29.92,32.29,35.42,39.01,39.24,43.589999999999996,45.32,35.73,23.61,16.76,15.74,14.64
tolbiac,5541.1578947368425,2770.5789473684213,7,nan,nan,nan,nan,236189.34385964915,5.0,1.59,0.14,0.0,0.02,2.34,5.7,12.530000000000001,28.009999999999998,27.52,27.54,30.33,34.15,35.65,36.28,40.09,40.68,41.61,39.55,33.71,22.900000000000002,13.69,11.76,9.22
villejuif-leo lagrange,4400.736842105263,2200.3684210526317,7,nan,nan,nan,nan,236189.34385964915,2.67,0.66,0.08,0.0,0.01,6.4,14.93,30.560000000000002,47.47,41.19,33.11,31.09,29.950000000000003,30.630000000000003,30.73,30.439999999999998,32.39,39.09,35.86,25.36,15.4,9.81,7.11,5.06
porte de choisy,7936.894736842105,3968.4473684210525,7,nan,nan,nan,nan,236189.34385964915,2.81,0.73,0.06,0.0,0.0,8.02,13.76,28.14,42.65,44.44,36.55,31.52,29.71,31.98,32.61,32.660000000000004,31.42,34.83,29.71,23.85,17.22,11.77,9.23,6.34
riquet,3386.2631578947367,1693.1315789473683,7,nan,nan,nan,nan,236189.34385964915,4.57,1.42,0.08,0.0,0.01,5.75,11.33,22.68,35.37,34.16,29.69,29.34,29.439999999999998,32.32,32.88,35.15,38.769999999999996,40.87,38.76,29.19,18.43,12.61,9.45,7.7299999999999995
porte d'ivry,3726.2105263157896,1863.1052631578948,7,nan,nan,nan,nan,236189.34385964915,4.05,1.35,0.15,0.0,0.0,5.89,8.76,19.15,30.57,31.05,29.52,29.86,32.519999999999996,33.22,33.83,36.59,40.04,46.489999999999995,39.300000000000004,29.37,18.9,12.120000000000001,10.49,6.79
pont neuf,3156.315789473684,1578.157894736842,7,nan,nan,nan,nan,236189.34385964915,18.32,6.4,0.01,0.0,0.0,1.04,1.65,4.07,8.01,9.2,8.67,13.85,19.94,21.58,25.93,36.37,47.32,57.35,60.730000000000004,50.199999999999996,33.56,23.37,24.79,27.66
pont marie,2478.3684210526317,1239.1842105263158,7,nan,nan,nan,nan,236189.34385964915,15.04,5.23,0.02,0.0,0.05,1.06,2.22,6.8,15.25,15.76,13.540000000000001,16.6,23.229999999999997,25.33,28.560000000000002,37.26,45.879999999999995,54.04,52.92,45.43,28.560000000000002,20.93,22.2,24.060000000000002
pierre curie,2285.4736842105262,1142.7368421052631,7,nan,nan,nan,nan,236189.34385964915,4.85,1.14,0.06,0.0,0.0,8.62,14.129999999999999,28.909999999999997,44.26,37.75,31.490000000000002,30.869999999999997,32.49,29.43,31.59,31.66,35.99,37.940000000000005,33.69,23.77,15.14,10.290000000000001,7.8999999999999995,8.02
danube,751.5263157894736,375.7631578947368,7bis,nan,nan,nan,nan,236189.34385964915,2.99,1.4500000000000002,0.03,0.02,0.03,11.05,15.43,28.849999999999998,44.46,38.37,33.86,32.94,32.160000000000004,33.17,36.79,36.769999999999996,34.730000000000004,36.66,27.9,20.33,13.08,8.780000000000001,5.73,4.4
pre-saint-gervais,623.7894736842105,311.89473684210526,7bis,nan,nan,nan,nan,236189.34385964915,3.2,1.56,0.45999999999999996,0.01,0.92,11.02,13.75,24.450000000000003,38.44,37.12,30.75,31.79,32.84,31.61,33.12,33.5,37.76,38.32,34.38,27.369999999999997,15.75,9.84,7.35,4.6899999999999995
chatelet,17555.905263157896,8777.952631578948,1,4,7,11.0,14.0,236189.34385964915,30.17,10.6,0.27,0.04,0.36,7.1899999999999995,5.32,8.82,15.78,15.86,17.48,26.5,37.63,46.019999999999996,55.16,72.78999999999999,92.19,114.31,122.78,105.6,70.85,51.84,47.85,44.6
aubervilliers-pantin-quatre chemins,12712.631578947368,6356.315789473684,7,nan,nan,nan,nan,236189.34385964915,3.24,0.78,0.04,0.03,0.02,8.26,21.89,36.51,34.19,35.39,30.759999999999998,27.11,28.08,28.55,29.7,31.759999999999998,36.480000000000004,39.72,34.1,26.83,18.669999999999998,12.64,8.969999999999999,6.29
stalingrad,2530.298245614035,1265.1491228070174,2,5,7,nan,nan,236189.34385964915,6.41,2.27,0.14,0.02,0.05,4.36,8.85,16.81,24.29,24.06,24.59,26.77,30.87,32.61,33.480000000000004,37.53,43.84,45.68,42.28,34.0,23.47,16.56,11.79,9.27
la courneuve-8 mai 1945,12728.315789473685,6364.1578947368425,7,nan,nan,nan,nan,236189.34385964915,2.08,0.35,0.0,0.0,0.03,11.22,28.65,48.65,40.62,42.24,33.45,27.939999999999998,28.11,29.990000000000002,29.2,28.509999999999998,30.61,34.57,27.71,20.41,14.41,9.8,6.56,4.89
crimee,7999.210526315789,3999.6052631578946,7,nan,nan,nan,nan,236189.34385964915,4.16,1.4900000000000002,0.14,0.0,0.01,5.220000000000001,10.74,23.43,37.0,38.3,32.85,30.85,33.1,32.54,33.47,34.93,35.2,38.88,34.64,27.33,17.23,12.040000000000001,9.3,7.22
place monge,3669.2631578947367,1834.6315789473683,7,nan,nan,nan,nan,236189.34385964915,15.11,5.4399999999999995,0.04,0.0,0.05,1.53,3.3200000000000003,8.870000000000001,22.17,20.7,18.41,21.29,26.62,30.17,35.63,37.65,39.32,44.7,44.31,38.37,24.52,18.83,21.06,21.89
corentin cariou,4076.842105263158,2038.421052631579,7,nan,nan,nan,nan,236189.34385964915,12.26,3.6,0.15,0.02,0.03,8.34,11.86,17.92,26.21,25.64,24.66,24.89,27.16,28.04,27.72,29.950000000000003,38.67,49.19,47.379999999999995,32.04,20.59,15.32,14.43,13.95
le peletier,4198.105263157895,2099.0526315789475,7,nan,nan,nan,nan,236189.34385964915,13.45,5.37,0.02,,0.0,2.08,4.23,7.36,16.24,16.49,16.03,18.67,24.26,26.67,32.3,38.26,40.19,51.53,51.129999999999995,40.86,28.46,20.59,22.96,22.86
louis blanc,1665.7894736842106,832.8947368421053,7,7bis,nan,nan,nan,236189.34385964915,6.6899999999999995,2.56,0.16999999999999998,0.01,0.04,3.96,6.43,15.33,29.32,29.61,27.92,28.42,30.46,33.02,33.15,35.46,37.9,41.3,39.22,32.5,23.03,17.66,13.64,12.2
villejuif-louis aragon,12529.526315789473,6264.763157894737,7,nan,nan,nan,nan,236189.34385964915,2.42,0.43000000000000005,0.03,0.0,0.05,10.08,19.08,34.98,48.28,37.370000000000005,31.119999999999997,30.59,30.5,31.37,31.759999999999998,31.32,32.83,36.12,31.55,23.4,15.33,10.0,6.47,4.91
palais-royal,6091.684210526316,3045.842105263158,1,7,nan,nan,nan,236189.34385964915,9.3,2.52,0.09,0.0,0.0,1.09,1.31,2.67,5.65,7.03,8.41,14.38,23.02,26.46,31.31,40.91,55.839999999999996,70.75,67.08,42.629999999999995,27.29,21.240000000000002,20.44,20.58
fort d'aubervilliers,7159.789473684211,3579.8947368421054,7,nan,nan,nan,nan,236189.34385964915,3.69,1.23,0.03,0.0,0.0,11.690000000000001,24.689999999999998,41.14,43.76,39.870000000000005,32.620000000000005,29.25,28.25,30.04,29.34,30.16,31.13,33.39,27.42,21.18,14.29,12.35,8.55,5.88
porte de la villette,6996.0,3498.0,7,nan,nan,nan,nan,236189.34385964915,8.83,2.27,0.12,0.01,0.02,9.7,11.49,16.31,18.15,18.46,18.59,21.21,25.58,28.490000000000002,28.22,35.45,42.87,54.37,51.31,36.0,24.59,18.57,14.99,14.43
censier-daubenton,3554.6315789473683,1777.3157894736842,7,nan,nan,nan,nan,236189.34385964915,7.23,1.94,0.03,0.0,0.02,0.98,3.16,9.12,23.610000000000003,22.65,19.64,24.099999999999998,31.6,32.93,35.71,38.49,43.05,49.019999999999996,47.88,38.88,24.83,15.81,15.469999999999999,13.89
buttes-chaumont,660.1052631578947,330.05263157894734,7bis,nan,nan,nan,nan,236189.34385964915,4.59,1.44,0.26,0.01,0.08,4.390000000000001,6.61,13.05,27.91,26.14,21.759999999999998,29.73,31.15,30.32,31.7,36.69,46.9,54.85,44.900000000000006,36.84,21.85,12.69,8.99,7.1899999999999995
gare de l'est,29666.263157894737,14833.131578947368,4,5,7,nan,nan,236189.34385964915,0.7,0.02,0.0,0.0,0.060000000000000005,2.8899999999999997,10.34,16.49,13.120000000000001,12.57,13.68,16.64,20.38,23.85,26.95,32.4,49.55,69.36,67.0,53.03,37.28,21.659999999999997,10.64,1.4
pyramides,4279.131578947368,2139.565789473684,7,14,nan,nan,nan,236189.34385964915,6.84,2.0300000000000002,0.13,0.01,0.01,0.9500000000000001,1.94,3.7,7.640000000000001,8.03,8.84,13.05,20.11,25.950000000000003,31.18,40.239999999999995,48.26,63.2,67.67,51.92,33.49,24.3,22.48,18.009999999999998
